transaction_id,date,hour,segment_name,vehicle_class,registration,toll_amount,avg_toll,std_toll,z_score,flag_severity
468618,2024-05-16,8,A7_West,LKW_7.5t,DE,7.426,9.926996891108772,0.5004182994494983,-5.0,CRITICAL
241240,2024-03-11,2,A2_Ost,LKW_18t,NL,26.4345,21.475239336226274,1.079490139354292,4.59,CRITICAL
176625,2024-02-21,17,A9_Sued,LKW_18t,NL,21.0783,17.212171333948874,0.8504227066658256,4.55,CRITICAL
84823,2024-01-25,6,A100_Berlin,Bus,CZ,1.3839,1.7823700773349176,0.08949054923311046,-4.45,CRITICAL
155297,2024-02-15,6,A1_Nord,LKW_7.5t,PL,6.6566,8.450822410387591,0.42438912736399226,-4.23,CRITICAL
255699,2024-03-15,17,A9_Sued,LKW_7.5t,DE,9.2838,11.747391618817693,0.5858221997258111,-4.21,CRITICAL
12449,2024-01-04,11,A9_Sued,LKW_7.5t,DE,9.2856,11.747391618817693,0.5858221997258111,-4.2,CRITICAL
558796,2024-06-12,19,A9_Sued,LKW_18t,NL,20.7858,17.212171333948874,0.8504227066658256,4.2,CRITICAL
490025,2024-05-23,7,A9_Sued,LKW_18t,NL,13.6585,17.212171333948874,0.8504227066658256,-4.18,CRITICAL
490281,2024-05-23,13,A9_Sued,LKW_7.5t,DE,9.2963,11.747391618817693,0.5858221997258111,-4.18,CRITICAL
374647,2024-04-19,16,A9_Sued,LKW_18t,NL,20.7214,17.212171333948874,0.8504227066658256,4.13,CRITICAL
128610,2024-02-07,2,A100_Berlin,LKW_18t,NL,2.5038,3.152299238033475,0.15753610499711462,-4.12,CRITICAL
608158,2024-06-26,14,A7_West,LKW_7.5t,PL,11.9829,9.926996891108772,0.5004182994494983,4.11,CRITICAL
27814,2024-01-09,7,A1_Nord,Bus,CZ,5.5697,7.008365289389071,0.35084704638338177,-4.1,CRITICAL
543160,2024-06-07,16,A100_Berlin,LKW_18t,PL,3.7882,3.152299238033475,0.15753610499711462,4.04,CRITICAL
543661,2024-06-07,9,A2_Ost,LKW_7.5t,DE,17.6238,14.654578913154852,0.7349960986693883,4.04,CRITICAL
380995,2024-04-21,22,A100_Berlin,LKW_7.5t,PL,1.7179,2.149787111281219,0.10734412390009378,-4.02,CRITICAL
594416,2024-06-22,13,A7_West,LKW_7.5t,DE,11.9348,9.926996891108772,0.5004182994494983,4.01,CRITICAL
399225,2024-04-26,9,A100_Berlin,Bus,CZ,2.1409,1.7823700773349176,0.08949054923311046,4.01,CRITICAL
193924,2024-02-26,6,A2_Ost,LKW_18t,NL,25.7917,21.475239336226274,1.079490139354292,4.0,HIGH
563708,2024-06-13,15,A2_Ost,Bus,FR,14.5799,12.150226561587848,0.6067919843822752,4.0,HIGH
138686,2024-02-09,18,A7_West,LKW_7.5t,DE,11.9194,9.926996891108772,0.5004182994494983,3.98,HIGH
617994,2024-06-29,6,A7_West,LKW_18t,NL,11.643,14.541728940847316,0.7291785167799889,-3.98,HIGH
310372,2024-03-31,16,A7_West,LKW_18t,PL,17.441,14.541728940847316,0.7291785167799889,3.98,HIGH
574594,2024-06-17,19,A9_Sued,LKW_18t,PL,13.8383,17.212171333948874,0.8504227066658256,-3.97,HIGH
