timestamp,segment,total_vehicles,rolling_mean_24h,z_score,anomaly_score,hour,day_name,is_weekend,deviation_%,severity
2024-02-14 07:00:00,A100_Berlin,19999,4449.708333333333,4.150452521704526,0.10877880373313698,7,Wednesday,False,349.4,HIGH
2024-04-20 07:00:00,A9_Sued,7665,2655.0,3.2445671119533275,0.0745166945669562,7,Saturday,True,188.7,MEDIUM
2024-05-18 06:00:00,A7_West,1601,398.5,4.2866058737602355,0.03996793816404953,6,Saturday,True,301.8,HIGH
2024-03-09 06:00:00,A2_Ost,952,239.125,4.277317833219376,0.03816492939474869,6,Saturday,True,298.1,HIGH
2024-02-26 07:00:00,A1_Nord,3621,1152.9166666666667,3.5397211083232105,0.028083606030916752,7,Monday,False,214.1,MEDIUM
2024-03-09 07:00:00,A2_Ost,1240,279.6666666666667,3.6405942884115636,0.02672104322375113,7,Saturday,True,343.4,MEDIUM
2024-04-08 07:00:00,A1_Nord,3348,1187.0833333333333,3.101383430526469,0.022054308752788354,7,Monday,False,182.0,MEDIUM
2024-03-25 07:00:00,A1_Nord,3343,1123.9166666666667,3.26644511584094,0.021556363856015892,7,Monday,False,197.4,MEDIUM
2024-04-22 07:00:00,A2_Ost,2967,947.375,3.4586461252581078,0.019926971729292142,7,Monday,False,213.2,MEDIUM
2024-05-18 07:00:00,A7_West,2505,485.9583333333333,3.932249806798085,0.019204953289162052,7,Saturday,True,415.5,MEDIUM
2024-05-18 08:00:00,A7_West,2600,576.2916666666666,3.0190866104855836,0.018597865251372747,8,Saturday,True,351.2,MEDIUM
2024-05-13 07:00:00,A1_Nord,3311,1118.3333333333333,3.362277819342395,0.017273713204486674,7,Monday,False,196.1,MEDIUM
2024-03-04 07:00:00,A2_Ost,3012,939.3333333333334,3.585258681499457,0.01690741355359071,7,Monday,False,220.7,MEDIUM
2024-01-08 07:00:00,A7_West,4453,1498.5,3.3741911849270623,0.015410050220098226,7,Monday,False,197.2,MEDIUM
