timestamp,segment,total_vehicles,light_vehicles,heavy_vehicles,hour,day_of_week,day_name,is_weekend,month
2024-01-01 00:00:00,A1_Nord,562,440,122,0,0,Monday,False,1
2024-01-01 01:00:00,A1_Nord,568,434,134,1,0,Monday,False,1
2024-01-01 02:00:00,A1_Nord,530,415,115,2,0,Monday,False,1
2024-01-01 03:00:00,A1_Nord,609,470,139,3,0,Monday,False,1
2024-01-01 04:00:00,A1_Nord,520,403,117,4,0,Monday,False,1
2024-01-01 05:00:00,A1_Nord,520,409,111,5,0,Monday,False,1
2024-01-01 06:00:00,A1_Nord,1838,1473,365,6,0,Monday,False,1
2024-01-01 07:00:00,A1_Nord,2486,1955,531,7,0,Monday,False,1
2024-01-01 08:00:00,A1_Nord,2651,2059,592,8,0,Monday,False,1
2024-01-01 09:00:00,A1_Nord,2675,2129,546,9,0,Monday,False,1
2024-01-01 10:00:00,A1_Nord,2014,1576,438,10,0,Monday,False,1
2024-01-01 11:00:00,A1_Nord,1812,1442,370,11,0,Monday,False,1
2024-01-01 12:00:00,A1_Nord,1724,1343,381,12,0,Monday,False,1
2024-01-01 13:00:00,A1_Nord,1637,1271,366,13,0,Monday,False,1
2024-01-01 14:00:00,A1_Nord,1716,1344,372,14,0,Monday,False,1
2024-01-01 15:00:00,A1_Nord,1716,1304,412,15,0,Monday,False,1
2024-01-01 16:00:00,A1_Nord,1801,1426,375,16,0,Monday,False,1
2024-01-01 17:00:00,A1_Nord,2882,2287,595,17,0,Monday,False,1
2024-01-01 18:00:00,A1_Nord,2749,2204,545,18,0,Monday,False,1
2024-01-01 19:00:00,A1_Nord,2417,1881,536,19,0,Monday,False,1
2024-01-01 20:00:00,A1_Nord,1909,1486,423,20,0,Monday,False,1
2024-01-01 21:00:00,A1_Nord,1786,1399,387,21,0,Monday,False,1
2024-01-01 22:00:00,A1_Nord,476,376,100,22,0,Monday,False,1
2024-01-01 23:00:00,A1_Nord,520,400,120,23,0,Monday,False,1
2024-01-02 00:00:00,A1_Nord,556,445,111,0,1,Tuesday,False,1
2024-01-02 01:00:00,A1_Nord,555,436,119,1,1,Tuesday,False,1
2024-01-02 02:00:00,A1_Nord,512,396,116,2,1,Tuesday,False,1
2024-01-02 03:00:00,A1_Nord,586,452,134,3,1,Tuesday,False,1
2024-01-02 04:00:00,A1_Nord,505,396,109,4,1,Tuesday,False,1
2024-01-02 05:00:00,A1_Nord,556,428,128,5,1,Tuesday,False,1
2024-01-02 06:00:00,A1_Nord,1736,1358,378,6,1,Tuesday,False,1
2024-01-02 07:00:00,A1_Nord,2634,2090,544,7,1,Tuesday,False,1
2024-01-02 08:00:00,A1_Nord,3077,2355,722,8,1,Tuesday,False,1
2024-01-02 09:00:00,A1_Nord,2873,2210,663,9,1,Tuesday,False,1
2024-01-02 10:00:00,A1_Nord,1858,1463,395,10,1,Tuesday,False,1
